serial_no,issue_date,file_number,company_name,equipment,certificate_no,online_application_no,pdf_url
245,2026-05-21,I-21/141/2026-W&M Section,S K ENGINEERING,Non-automatic weighing instrument,245,23561,https://lm.doca.gov.in/ModelApproval/Certificates/2026/245.pdf
246,2026-05-21,I-21/102/2026-W&M Section,Suzuki Electronics,Measuring Systems for Liquids Other than Water,246,23669,https://lm.doca.gov.in/ModelApproval/Certificates/2026/246.pdf
247,2026-05-22,I-21/155/2026-W&M Section,GEETA METALS AND SUPPLY CO.,Non-automatic weighing instrument,247,24105,https://lm.doca.gov.in/ModelApproval/Certificates/2026/247.pdf
248,2026-05-25,21/146/2026,SPAN TECHNOLOGIES,Any other Weight or Measure,248,23888,https://lm.doca.gov.in/ModelApproval/Certificates/2026/248.pdf
249,2026-05-25,21/159/2026,SHREE SALASAR SALES,Non-automatic weighing instrument,249,24081,https://lm.doca.gov.in/ModelApproval/Certificates/2026/249.pdf
250,2026-05-25,21/159/2026,SHREE SALASAR SALES,Non-automatic weighing instrument,250,24082,https://lm.doca.gov.in/ModelApproval/Certificates/2026/250.pdf
251,2026-05-25,21/132/2026,M/S. ANITA TRADING COMPANY,Non-automatic weighing instrument,251,23694,https://lm.doca.gov.in/ModelApproval/Certificates/2026/251.pdf
252,2026-05-25,I-21/135/2026-W&M Section,E.G Kantawalla Pvt Ltd,Non-automatic weighing instrument,252,23360,https://lm.doca.gov.in/ModelApproval/Certificates/2026/252.pdf
253,2026-05-26,I-21/156/2026-W&M Section,SHAKTI ELECTRONICS,Auto Rickshaw and Taxi Meter,253,24002,https://lm.doca.gov.in/ModelApproval/Certificates/2026/253.pdf
254,2026-05-27,I-21/140/2026-W&M Section,ADVANCED TECHNOLOGY SOLUTIONS,Non-automatic weighing instrument,254,23971,https://lm.doca.gov.in/ModelApproval/Certificates/2026/254.pdf
255,2026-05-27,I-21/151/2026-W&M Section,QUANTICA ENGINEERING WORKS PRIVATE LIMITED,Non-automatic weighing instrument,255,23854,https://lm.doca.gov.in/ModelApproval/Certificates/2026/255.pdf
256,2026-05-29,I-21/162/2026-W&M Section,M.S. WEIGHING SCALES & SYSTEMS,Non-automatic weighing instrument,256,23986,https://lm.doca.gov.in/ModelApproval/Certificates/2026/256.pdf
257,2026-05-29,I-21/163/2026-W&M Section,POSIFLEX TECHNOLOGY (INDIA) PRIVATE LIMITED,Non-automatic weighing instrument,257,23840,https://lm.doca.gov.in/ModelApproval/Certificates/2026/257.pdf
258,2026-05-29,I-21/153/2026-W&M Section,MALAVIYA DIGITAL SCALE,Non-automatic weighing instrument,258,24114,https://lm.doca.gov.in/ModelApproval/Certificates/2026/258.pdf
259,2026-06-01,I-21/160/2026-W&M Section,GEMINI SCALES & EQUIPMENT,Non-automatic weighing instrument,259,24068,https://lm.doca.gov.in/ModelApproval/Certificates/2026/259.pdf
260,2026-06-01,I-21/160/2026-W&M Section,GEMINI SCALES & EQUIPMENT,Non-automatic weighing instrument,260,24069,https://lm.doca.gov.in/ModelApproval/Certificates/2026/260.pdf
261,2026-06-01,I-21/158/2026-W&M Section,HARDIK MEDITECH,Non-automatic weighing instrument,261,23839,https://lm.doca.gov.in/ModelApproval/Certificates/2026/261.pdf
262,2026-06-01,I-21/158/2026-W&M Section,HARDIK MEDITECH,Measuring tape,262,24011,https://lm.doca.gov.in/ModelApproval/Certificates/2026/262.pdf
263,2026-06-01,I-21/164/2026-W&M Section,MATRIX ELECTRONICS,Non-automatic weighing instrument,263,24059,https://lm.doca.gov.in/ModelApproval/Certificates/2026/263.pdf
